2026-07-20 11:07:39 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 0, 'doublon': 0, 'valeur_aberrante': 3, 'non_utile_total': 3, 'utile_total': 47}
2026-07-20 11:07:39 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-20 11:07:39 | INFO     | models.pretraitement | Valeurs manquantes imputées : 0
2026-07-20 11:07:39 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 0, 'doublon': 0, 'valeur_aberrante': 3, 'non_utile_total': 3, 'utile_total': 47}
2026-07-20 11:07:39 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-20 11:07:39 | INFO     | models.pretraitement | Valeurs manquantes imputées : 0
2026-07-20 11:07:39 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 0, 'doublon': 0, 'valeur_aberrante': 3, 'non_utile_total': 3, 'utile_total': 47}
2026-07-20 11:07:39 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-20 11:07:39 | INFO     | models.pretraitement | Valeurs manquantes imputées : 0
2026-07-20 11:07:42 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 0, 'doublon': 0, 'valeur_aberrante': 3, 'non_utile_total': 3, 'utile_total': 47}
2026-07-20 11:07:42 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-20 11:07:42 | INFO     | models.pretraitement | Valeurs manquantes imputées : 0
2026-07-20 11:08:01 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-20 11:08:01 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-20 11:08:05 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-20 11:08:13 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-20 11:11:04 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 178, 'doublon': 177, 'valeur_aberrante': 2, 'non_utile_total': 180, 'utile_total': 47}
2026-07-20 11:11:04 | INFO     | models.pretraitement | Doublons supprimés : 177
2026-07-20 11:11:04 | INFO     | models.pretraitement | Valeurs manquantes imputées : 32
